"","lon","lat"
"1514",35.482597,38.720489
"1515",-77.4360481,37.5407246
"1518",144.3617186,-38.1499181
"1519",-47.8821658,-15.7942287
"1520",-119.8906945,37.8759655
"1522",-88.89653,13.794185
"1523",121.6234471,13.9413957
"1524",-116.9342671,40.6421334
"1525",-78.4678382,-0.1806532
"1526",-74.0059728,40.7127753
"1527",-9.4207438,38.6967571
"1529",-100.3161126,25.6866142
"1530",-82.9976742,38.7317431
"1531",2.1581351,49.0615901
"1532",-86.4808043,36.9685219
"1534",-0.399752,54.283113
"1557",11.0698834,49.7213064
"1558",-81.8552196,41.143245
"1559",-92.0485815,34.2021624
"1560",123.4343445,7.8397033
"1561",-96.7025955,40.813616
"1562",-73.134961,40.789142
"1563",-82.9460133,39.600618
"1564",-99.9018131,31.9685988
"1567",-116.5452921,33.8302961
"1568",-51.2176584,-30.0346471
"1569",-74.606415,40.566226
"1570",32.9212265,39.8451842
"1572",-118.2914872,33.9891116
"1573",-98.2300124,26.2034071
"1575",-97.2392359,37.6780742
"1576",5.7615402,49.3562358
"1577",-112.0740373,33.4483771
"1578",-122.2913078,37.8271784
"1579",-2.9326435,48.2020471
"1580",121.442403,31.187818
"1583",-95.3010624,32.3512601
"1585",-72.0995209,41.3556539
"1588",2.1734035,41.3850639
"1593",-73.9697795,40.7593941
"1594",-73.966411,40.7726675
"1600",-81.3792365,28.5383355
"1613",-87.6297982,41.8781136
"1617",-90.5776367,41.5236437
"1619",-111.888562,40.740271
"1623",-65.4231976,-24.7821269
"1624",-94.6858998,46.729553
"1625",-9.3816495,38.8029127
"1626",-82.445154,38.4192496
"1628",-75.423796,40.655721
"1629",-97.0403352,32.8998091
"1630",-51.0478724,-23.2690961
"1631",-4.5598636,36.6598945
"1633",-111.9479189,41.0424438
"1634",-2.96083,53.4308294
"1637",-81.3578859,41.1536674
"1638",-70.6692655,-33.4488897
"1639",-117.1610838,32.715738
"1640",2.3522219,48.856614
"1641",-79.5115433,36.0982762
"1642",-95.6376017,37.0335516
"1644",-90.420441,37.782
"1648",17.145402,51.6206419
"1652",-43.1728965,-22.9068467
"1654",-96.7969879,32.7766642
"1655",-122.3320708,47.6062095
"1660",-95.3698028,29.7604267
"1668",-67.9954929,-38.938771
"1669",-84.3360359,33.7803832
"1673",-75.690601,4.8087174
"1674",-84.4838654,42.7369792
"1675",-97.092877,35.0077519
"1677",-52.8076818,47.5206407
"1678",120.6890055,15.340141
"1679",-74.1502007,40.5795317
"1680",-104.5230242,33.3942655
"1682",-117.0856599,33.6576096
"1683",-122.225865,37.484282
"1685",-84.2963123,33.7748275
"1687",-81.7245739,41.3136644
"1689",-80.4305223,25.7055933
"1690",-86.80249,33.5206608
"1691",101.975766,4.210484
"1692",-93.0899578,44.9537029
"1694",-87.9064736,43.0389025
"1696",-85.817556,41.688873
"1697",-93.8855768,41.6119903
"1698",-84.4493725,33.6534427
"1699",-83.1446485,42.4894801
"1700",-72.8305154,41.8096201
"1701",-78.898619,35.9940329
"1705",151.1950479,-33.821332
"1709",-96.246256,41.26699
"1710",-82.6402915,27.7676008
"1712",-79.3831843,43.653226
"1713",-94.9027002,29.383845
"1714",-94.1718542,36.082156
"1715",-76.386818,36.9614181
"1720",13.1913383,32.8872094
"1722",45.079162,23.885942
"1723",4.3988186,51.9169599
"1724",-76.3452218,37.0298687
"1729",-3.7037902,40.4167754
"1730",-86.902298,32.3182314
"1732",-82.9987942,39.9611755
"1733",-82.907123,40.4172871
"1734",-84.2700179,37.8393332
"1735",-112.0382617,46.5894659
"1736",-84.2988126,33.8920468
"1738",-74.072092,4.7109886
"1739",-74.171811,40.9167654
"1740",-122.7819595,45.3779317
"1741",-95.9686516,36.1408044
"1743",-1.5196603,12.3714277
"1745",-97.65799,35.1356594
"1746",-97.305549,37.6452291
"1747",-81.6943605,41.49932
"1748",-73.6817957,41.6089826
"1749",-43.3699377,-22.7907116
"1751",-67.6066164,10.2441931
"1752",-79.9414266,37.2709704
"1753",-87.6087638,41.8054641
"1755",-85.7584557,38.2526647
"1756",-95.712891,37.09024
"1757",-87.8549755,42.2162567
"1758",-95.5119848,29.9788151
"1759",-76.2087408,36.8536034
"1763",109.3425039,-0.0263303
"1768",-86.1349019,40.2671941
"1771",-80.2064835,26.3718344
"1773",-46.9442412,-19.5906483
"1777",7.0038923,51.4296232
"1778",-73.9441579,40.6781784
"1782",27.142826,38.423734
"1783",-96.1342241,19.173773
"1786",-1.6420903,42.6012684
"1788",-74.4229266,39.3642834
"1789",-73.9395687,42.8142432
"1790",-75.9268747,40.3356483
"1791",121.01373,14.3066935
"1794",-95.9915346,36.1568902
"1796",-43.2410248,-22.9325728
"1797",-71.0605375,42.3569801
"1798",-118.3333632,33.9307259
"1799",-85.7584557,38.2526647
"1801",112.7520883,-7.2574719
"1802",17.228331,26.3351
"1803",121.3655989,14.2346148
"1804",-95.3698028,29.7604267
"1805",120.6567054,15.0593937
"1806",-77.7740098,36.0017442
"1807",-69.1804708,9.5503646
"1809",-87.6561995,41.7433773
"1813",-93.6319131,42.0307812
"1814",-68.8458386,-32.8894587
"1816",2.213749,46.227638
"1817",-87.9298034,43.0384667
"1818",122.5146439,8.0515321
"1821",-82.9000751,32.1656221
"1834",-0.3762881,39.4699075
"1841",-122.3163117,47.6064018
"1844",-105.084423,40.5852602
"1845",-80.782127,8.537981
"1846",-49.8091065,-26.1164276
"1852",-97.6780821,41.309261
"1853",-118.2436849,34.0522342
"1854",-102.6449101,32.7189926
"1855",-95.8301781,36.1680847
"1856",-122.6781517,45.5269699
